Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
orange-charm,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,None,GI-934307126-E-M-N,1500,shopify,0,continue,manual,162,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,White,GI-934307126-E-M-W,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,Black,GI-934307126-E-M-B,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Matt Photographic Paper,,Scandi,GI-934307126-E-M-S,4600,shopify,0,continue,manual,536,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Canvas,,None,GI-934307126-E-C-N,1500,shopify,0,continue,manual,162,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Canvas,,White,GI-934307126-E-C-W,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Canvas,,Black,GI-934307126-E-C-B,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,E - 600 x 760,,Canvas,,Scandi,GI-934307126-E-C-S,4600,shopify,0,continue,manual,693,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,None,GI-934307126-F-M-N,1500,shopify,0,continue,manual,255,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,White,GI-934307126-F-M-W,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Black,GI-934307126-F-M-B,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
orange-charm,,,,,,,,F - 760 x 1000,,Matt Photographic Paper,,Scandi,GI-934307126-F-M-S,4600,shopify,0,continue,manual,647,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,
